epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.174,1.60532,1.67998,1.16513,0.71764,0.59615,0.6646,0.36988,1.40817,1.19569,1.10245,0.000553891,0.000553891,0.000553891
2,179.686,1.57283,1.2226,1.17762,0.73006,0.57226,0.66012,0.34516,1.47914,1.123,1.15512,0.00105463,0.00105463,0.00105463
3,268.011,1.57019,1.1327,1.1743,0.75889,0.56061,0.66776,0.3676,1.4483,1.09421,1.13613,0.00150037,0.00150037,0.00150037
4,354.28,1.5313,1.06553,1.15715,0.75607,0.63662,0.73277,0.4058,1.385,1.02812,1.12357,0.00141945,0.00141945,0.00141945
5,440.888,1.49533,1.00362,1.13832,0.79888,0.64493,0.75764,0.4289,1.32978,0.87671,1.08936,0.00133693,0.00133693,0.00133693
6,527.117,1.47608,0.96875,1.1258,0.8198,0.64243,0.76385,0.43463,1.31732,0.88443,1.08145,0.00125442,0.00125442,0.00125442
7,612.174,1.44113,0.93338,1.11571,0.8219,0.66869,0.78716,0.44983,1.29269,0.81635,1.06467,0.0011719,0.0011719,0.0011719
8,699.78,1.43323,0.91205,1.10655,0.83048,0.67615,0.79438,0.45986,1.29186,0.80696,1.06475,0.00108938,0.00108938,0.00108938
9,785.123,1.4106,0.88792,1.0995,0.82171,0.68637,0.80143,0.45706,1.28547,0.8111,1.0611,0.00100687,0.00100687,0.00100687
10,871.845,1.39163,0.87249,1.08877,0.81293,0.69779,0.80839,0.47436,1.24282,0.76046,1.04575,0.000924352,0.000924352,0.000924352
11,956.53,1.37883,0.82608,1.08847,0.84962,0.70735,0.82418,0.48468,1.2306,0.76038,1.04631,0.000841835,0.000841835,0.000841835
12,1039.45,1.35482,0.79955,1.07707,0.85502,0.7077,0.8165,0.4825,1.23595,0.74004,1.04359,0.000759318,0.000759318,0.000759318
13,1120.79,1.3446,0.78862,1.07297,0.86103,0.72728,0.83988,0.50023,1.20871,0.70474,1.02482,0.000676802,0.000676802,0.000676802
14,1202.33,1.32649,0.77099,1.06449,0.83712,0.72371,0.83437,0.49667,1.21576,0.70025,1.02637,0.000594286,0.000594286,0.000594286
15,1283.84,1.31212,0.75238,1.05729,0.84592,0.73909,0.84099,0.50906,1.19181,0.68199,1.0183,0.000511769,0.000511769,0.000511769
16,1366.6,1.3018,0.73628,1.05256,0.85679,0.72478,0.84193,0.50807,1.19513,0.68037,1.01675,0.000429253,0.000429253,0.000429253
17,1448.29,1.29012,0.72254,1.04579,0.87107,0.7325,0.85129,0.51599,1.18121,0.66437,1.01141,0.000346736,0.000346736,0.000346736
18,1528.78,1.27537,0.71027,1.04101,0.85658,0.74951,0.85469,0.5216,1.18286,0.65584,1.00813,0.00026422,0.00026422,0.00026422
19,1611.28,1.25651,0.69155,1.03007,0.88364,0.74063,0.8589,0.52438,1.1757,0.64511,1.00505,0.000181703,0.000181703,0.000181703
20,1693.19,1.24961,0.68104,1.02452,0.87012,0.75949,0.86226,0.52857,1.16209,0.63668,0.999,9.91865e-05,9.91865e-05,9.91865e-05
